web_scraper_order,web_scraper_start_url,URL,MARQUE,PRIX,ADRESSE,ANNEE,KILOMETRAGE,PROPRIETAIRE
"1767473489-1","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=55","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/honda/vf/annonce-81792","Honda  VF 0 Dakar","250 000 F CFA","Grand-Dakar","","","Parking DEMBA DIOP"
"1767473492-2","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=55","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/runner/annonce-81893","Piaggio  Runner 0 Dakar","700 000 F CFA","Grand-Dakar","","","Parking KHADIM SYLLA"
"1767473495-3","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=55","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/mbk/majesty/annonce-81892","MBK  Majesty 0 Dakar","450 000 F CFA","Grand-Dakar","","","Parking KHADIM SYLLA"
"1767473498-4","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=55","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/sh/annonce-81891","Piaggio  SH 0 Dakar","700 000 F CFA","Grand-Dakar","","","Parking KHADIM SYLLA"
"1767473501-5","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=55","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/mbk/majesty/annonce-81889","MBK  Majesty 0 Dakar","450 000 F CFA","Grand-Dakar","","","Parking KHADIM SYLLA"
"1767473504-6","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=55","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/peugeot/125/annonce-81888","Peugeot  125 0 Dakar","500 000 F CFA","Grand-Dakar","","","Parking KHADIM SYLLA"
"1767473507-7","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=55","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/vespa/annonce-81887","Piaggio  Vespa 0 Dakar","500 000 F CFA","Grand-Dakar","","","Parking KHADIM SYLLA"
"1767473510-8","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=55","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/aprilia/leonardo/annonce-81886","Aprilia  Leonardo 0 Dakar","400 000 F CFA","Grand-Dakar","","","Parking KHADIM SYLLA"
"1767473523-9","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=55","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/runner/annonce-81885","Piaggio  Runner 0 Dakar","700 000 F CFA","Grand-Dakar","","","Parking KHADIM SYLLA"
"1767473539-10","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/skipper/annonce-81884","Piaggio 1050 Skipper 0 Dakar","550 000 F CFA","Grand-Dakar","","","Parking KHADIM SYLLA"
"1767473542-11","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/vespa/annonce-81882","Piaggio  Vespa 0 Dakar","500 000 F CFA","Grand-Dakar","","","Parking KHADIM SYLLA"
"1767473545-12","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/mbk/majesty/annonce-81881","MBK  Majesty 2003 Dakar","650 000 F CFA","Grand-Dakar","","Année: 2003","Parking MJN MOTORS"
"1767473548-13","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/yamaha/xc/annonce-81880","Yamaha  XC 2003 Dakar","950 000 F CFA","Grand-Dakar","","Année: 2003","Parking MJN MOTORS"
"1767473551-14","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/beverly/annonce-81879","Piaggio  Beverly 2000 Dakar","1 500 000 F CFA","Grand-Dakar","","Année: 2000","Parking MJN MOTORS"
"1767473554-15","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/yamaha/xc/annonce-81878","Yamaha  XC 2003 Dakar","950 000 F CFA","Grand-Dakar","","Année: 2003","Parking MJN MOTORS"
"1767473557-16","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/beverly/annonce-81877","Piaggio  Beverly 2000 Dakar","900 000 F CFA","Grand-Dakar","","Année: 2000","Parking MJN MOTORS"
"1767473560-17","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/beverly/annonce-81876","Piaggio  Beverly 2000 Dakar","900 000 F CFA","Grand-Dakar","","Année: 2000","Parking MJN MOTORS"
"1767473563-18","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/beverly/annonce-81875","Piaggio  Beverly 2000 Dakar","900 000 F CFA","Grand-Dakar","","Année: 2000","Parking MJN MOTORS"
"1767473566-19","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/beverly/annonce-81874","Piaggio  Beverly 2001 Dakar","900 000 F CFA","Grand-Dakar","","Année: 2001","Parking MJN MOTORS"
"1767473569-20","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/runner/annonce-81873","Piaggio  Runner 2001 Dakar","950 000 F CFA","Grand-Dakar","","Année: 2001","Parking MJN MOTORS"
"1767473572-21","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/beverly/annonce-81872","Piaggio  Beverly 2000 Dakar","900 000 F CFA","Grand-Dakar","","Année: 2000","Parking MJN MOTORS"
"1767473575-22","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/mbk/majesty/annonce-81871","MBK  Majesty 2003 Dakar","650 000 F CFA","Grand-Dakar","","Année: 2003","Parking MJN MOTORS"
"1767473578-23","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/piaggio/beverly/annonce-81870","Piaggio  Beverly 2000 Dakar","900 000 F CFA","Grand-Dakar","","Année: 2000","Parking MJN MOTORS"
"1767473582-24","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/yamaha/x-max/annonce-81869","Yamaha  X-Max 2009 Dakar","1 300 000 F CFA","Grand-Dakar","","Année: 2009","Parking MJN MOTORS"
"1767473585-25","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/yamaha/sym/annonce-81868","Yamaha  SYM 2009 Dakar","950 000 F CFA","Grand-Dakar","","Année: 2009","Parking MJN MOTORS"
"1767473589-26","https://dakar-auto.com/senegal/motos-and-scooters-3?&page=54","https://dakar-auto.com/senegal/motos-and-scooters/occasion/motos/yamaha/xc/annonce-81867","Yamaha  XC 2003 Dakar","950 000 F CFA","Grand-Dakar","","Année: 2003","Parking MJN MOTORS"
